source,title,company,location,text_to_check,categories
linkedin,Développeur C# .net - F/H,BDO France,"Saint-Priest, Auvergne-Rhône-Alpes, France",Développeur C# .net - F/H,[]
linkedin,Développeur Java Fullstack (H/F),We+,"Vannes, Brittany, France",Développeur Java Fullstack (H/F),[]
linkedin,Développeur Python/Développeuse Python,Neosoft,Greater Toulouse Metropolitan Area,Développeur Python/Développeuse Python,['Data']
linkedin,Senior Python Developer (H/F/X),Lengow,"Nantes, Pays de la Loire, France",Senior Python Developer (H/F/X),['Data']
linkedin,Développeur flutter / Kotlin (F/H),GROUPE LR TECHNOLOGIES,"Lille, Hauts-de-France, France",Développeur flutter / Kotlin (F/H),[]
linkedin,Software Engineer Backend - H/F,iad Group,"Paris, Île-de-France, France",Software Engineer Backend - H/F,[]
linkedin,Développeur(se) Java client lourd F/H,CGI,Greater Brest Area,Développeur(se) Java client lourd F/H,[]
linkedin,Data steward,PIXIE,"Lille, Hauts-de-France, France",Data steward,[]
linkedin,Data Engineer,Beelix,"Lille, Hauts-de-France, France",Data Engineer,['Data']
linkedin,Data Engineer (H/F) @Chargemap,Chargemap,"Strasbourg, Grand Est, France",Data Engineer (H/F) @Chargemap,['Data']
linkedin,Data Engineer (H/F),Emil Frey Pro,"Chartres-de-Bretagne, Brittany, France",Data Engineer (H/F),['Data']
linkedin,DATA ENGINEER,STATERA,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",DATA ENGINEER,['Data']
linkedin,Data Engineer H/F,SEPTEO,"Valbonne, Provence-Alpes-Côte d'Azur, France",Data Engineer H/F,['Data']
linkedin,Data Engineer (F/H),Extia,Greater Lille Metropolitan Area,Data Engineer (F/H),['Data']
linkedin,Data engineer (H/F),Amiltone,"Lille, Hauts-de-France, France",Data engineer (H/F),['Data']
linkedin,Data scientist confirmé F/H,Commissariat au Numérique de Défense - CND,"Paris, Île-de-France, France",Data scientist confirmé F/H,[]
linkedin,Data Analyst confirmé Pricing H/F,Oventi,"Paris, Île-de-France, France",Data Analyst confirmé Pricing H/F,[]
linkedin,Data Analyst - Power BI H/F,Jems Group,"Paris, Île-de-France, France",Data Analyst - Power BI H/F,[]
linkedin,Ingénieur Data et IA F/H,KNDS France,"Versailles, Île-de-France, France",Ingénieur Data et IA F/H,[]
linkedin,Data scientist (H/F),LOOM CONSULTING,"Bordeaux, Nouvelle-Aquitaine, France",Data scientist (H/F),[]
linkedin,Data Engineer Senior – Databricks / Snowflake / dbt H/F,Wink,"Paris, Île-de-France, France",Data Engineer Senior – Databricks / Snowflake / dbt H/F,['Data']
linkedin,Ingénieur de données/Ingénieure de données,Wemanity Reply Lille,"Lille, Hauts-de-France, France",Ingénieur de données/Ingénieure de données,[]
linkedin,DATA MANAGER BI,Mister Auto,Greater Lyon Area,DATA MANAGER BI,[]
linkedin,Snowflake Senior Data Engineer H/F,Devoteam Data Driven,"Nantes, Pays de la Loire, France",Snowflake Senior Data Engineer H/F,['Data']
linkedin,Data Analyst @eXalt Niort,eXalt,"Nantes, Pays de la Loire, France",Data Analyst @eXalt Niort,[]
linkedin,DevOps (h/f),Mailinblack,"Marseille, Provence-Alpes-Côte d'Azur, France",DevOps (h/f),['DevOps']
linkedin,DevOps & Cloud H/F – Lille,Smile,"Lille, Hauts-de-France, France",DevOps & Cloud H/F – Lille,"['Cloud', 'DevOps']"
linkedin,DevOps,eXalt IT,"Bordeaux, Nouvelle-Aquitaine, France",DevOps,['DevOps']
linkedin,DevOps (H/F),Amiltone,"Niort, Nouvelle-Aquitaine, France",DevOps (H/F),['DevOps']
linkedin,"DevOps - Brest, France  (H/F)",Astek,"Brest, Brittany, France","DevOps - Brest, France  (H/F)",['DevOps']
linkedin,DevOps Engineer H/F,EasyPicky,"Montpellier, Occitanie, France",DevOps Engineer H/F,['DevOps']
linkedin,Ingénieur DevOps/Ingénieure DevOps,Conserto,"Bordeaux, Nouvelle-Aquitaine, France",Ingénieur DevOps/Ingénieure DevOps,['DevOps']
linkedin,DevSecOps,Klanik,"Lyon, Auvergne-Rhône-Alpes, France",DevSecOps,[]
linkedin,DevOps Engineer (M/F),Forssea Robotics,"Montpellier, Occitanie, France",DevOps Engineer (M/F),['DevOps']
linkedin,Devops/Cloud H/F,Expleo Group,"Gières, Auvergne-Rhône-Alpes, France",Devops/Cloud H/F,"['Cloud', 'DevOps']"
linkedin,Ingénieur Devops/Cloud - F/H,Niji,"Rennes, Brittany, France",Ingénieur Devops/Cloud - F/H,"['Cloud', 'DevOps']"
linkedin,Devops / SRE,QuickSort,"Paris, Île-de-France, France",Devops / SRE,['DevOps']
linkedin,Cloud/DevOps Engineer (F/H/NB),SFEIR,"Bordeaux, Nouvelle-Aquitaine, France",Cloud/DevOps Engineer (F/H/NB),"['Cloud', 'DevOps']"
linkedin,Ingénieur cybersécurité H/F,Kicklox,"Lyon, Auvergne-Rhône-Alpes, France",Ingénieur cybersécurité H/F,['Cybersecurity']
linkedin,Ingénieur Cybersécurité - Sécurité opérationnelle H/F,Carac,"Paris, Île-de-France, France",Ingénieur Cybersécurité - Sécurité opérationnelle H/F,['Cybersecurity']
linkedin,Ingénieur Cyber Sécurité F/H,KNDS France,"Bourges, Centre-Val de Loire, France",Ingénieur Cyber Sécurité F/H,['Cybersecurity']
linkedin,Senior Cyber Analyst – MS Sentinel (H/F),Thales,"Vélizy-Villacoublay, Île-de-France, France",Senior Cyber Analyst – MS Sentinel (H/F),[]
linkedin,Analyste Cyber SOC confirmé.e (SPlunk / Elastic) H/F,Lutessa,"Paris, Île-de-France, France",Analyste Cyber SOC confirmé.e (SPlunk / Elastic) H/F,[]
linkedin,Consultant(e) Cybersécurité SOC F/H,CGI,Greater Toulouse Metropolitan Area,Consultant(e) Cybersécurité SOC F/H,['Cybersecurity']
linkedin,Ingénieur Cybersécurité - SecOps H/F,SOFTWAY MEDICAL,"Fuveau, Provence-Alpes-Côte d'Azur, France",Ingénieur Cybersécurité - SecOps H/F,['Cybersecurity']
linkedin,"Expert en cybersécurité - Nice, France  (H/F)",Astek,"Nice, Provence-Alpes-Côte d'Azur, France","Expert en cybersécurité - Nice, France  (H/F)",['Cybersecurity']
linkedin,Senior Cyber Security Engineer (m/f) - Airbus CERT,Airbus Aircraft,"Toulouse, Occitanie, France",Senior Cyber Security Engineer (m/f) - Airbus CERT,['Cybersecurity']
linkedin,Chargé(e) de la Sécurité de l’Information,Dedomainia,"Bordeaux, Nouvelle-Aquitaine, France",Chargé(e) de la Sécurité de l’Information,['Cybersecurity']
linkedin,Analystes en Cybersécurité,Bénin Digital,"Montfaucon, Occitanie, France",Analystes en Cybersécurité,['Cybersecurity']
linkedin,Analyste SOC [F/H],SEC-IT,"Toulouse, Occitanie, France",Analyste SOC [F/H],[]
linkedin,Responsable de sécurité de l'information opérationnelle (H/F),Davidson consulting,"Rennes, Brittany, France",Responsable de sécurité de l'information opérationnelle (H/F),['Cybersecurity']
linkedin,Expert Cyber  F/H,AIS,"Niort, Nouvelle-Aquitaine, France",Expert Cyber  F/H,[]
linkedin,Coordinateur SI & Cybersécurité F/H,SIREOS,"Mauguio, Occitanie, France",Coordinateur SI & Cybersécurité F/H,['Cybersecurity']
linkedin,Cybersecurity Engineer,Agicap,"Lyon, Auvergne-Rhône-Alpes, France",Cybersecurity Engineer,['Cybersecurity']
linkedin,Consultant Cybersécurité Réseau (H/F),SQUAD - Cabinet de conseils et d’expertises,"Toulon, Provence-Alpes-Côte d'Azur, France",Consultant Cybersécurité Réseau (H/F),['Cybersecurity']
